run,model,n,n_parsed_verb,n_parsed_pred,frac_verb_conf,mean_verb_conf,frac_conf_ge_0999,n_unique_verb_conf,acc,n_correct,conf_minus_acc,verb_n,log_n,verb_ece,verb_ece_se,verb_brier,verb_brier_se,verb_auc_roc,verb_auc_roc_se,verb_ap_errors,verb_ap_errors_se,verb_ap_errors_norm,verb_ap_errors_norm_se,log_ece,log_ece_se,log_brier,log_brier_se,log_auc_roc,log_auc_roc_se,log_ap_errors,log_ap_errors_se,log_ap_errors_norm,log_ap_errors_norm_se
20260821_163002,Qwen/Qwen3-8B,1319,30,36,0.022744503411675512,0.91,0.16666666666666666,6,0.4444444444444444,16,0.4655555555555556,30,36,,,,,,,,,,,,,,,,,,,,
20260821_163640,Qwen/Qwen3-8B-Base,1319,1319,1319,1.0,0.9046626231993935,0.000758150113722517,7,0.32221379833206976,425,0.5824488248673237,1319,1319,0.5824488248673236,0.01243843883031553,0.5533946171341926,0.010532429550109863,0.5687616791683117,0.014059411633428907,0.7267952931996754,0.013909092294924468,1.0723075811931038,0.013429872863392162,0.201903681340448,0.009394900003524073,0.16769037733530062,0.005078767059536115,0.8751019871035663,0.011820332063162855,0.9099296175843758,0.012027035245220705,1.3425024025572538,0.02395436778345266
