dataset,conf_type,model,acc,acc_se,ece,ece_se,brier,brier_se,auc_roc,auc_roc_se
AI2 ARC,Log Probabilities,Qwen3-0.6B,0.5972696245733788,0.0147574212020095,0.2891857911397165,0.0141955574863673,0.3140293758719021,0.0119291351192478,0.6887197336561743,0.0157640597126548
AI2 ARC,Verbalized Confidence,Qwen3-0.6B,0.5972696245733788,0.0147574212020095,0.3882337883959044,0.0147275058984672,0.3914599472100682,0.014373550361493,0.5135411622276028,0.0118267153401569
AI2 ARC,Log Probabilities,Qwen3-1.7B,0.765358361774744,0.0121776344844334,0.2191355682578917,0.011900822580688,0.2222778222849317,0.0116014042448309,0.687905138339921,0.0174819205109437
AI2 ARC,Verbalized Confidence,Qwen3-1.7B,0.765358361774744,0.0121776344844334,0.1822525597269623,0.0121369229633761,0.2107481228668941,0.0109007437695598,0.5439282456673761,0.0125887053136493
AI2 ARC,Log Probabilities,Qwen3-4B,0.8583617747440273,0.0102886440754562,0.1367915551918765,0.0101041402916409,0.1368482200606583,0.0099918369062148,0.7303348583199598,0.0195843675423699
AI2 ARC,Verbalized Confidence,Qwen3-4B,0.8583617747440273,0.0102886440754562,0.0916382252559726,0.0102886440754562,0.1299744027303754,0.0092597796679106,0.5,0.0
AI2 ARC,Log Probabilities,Qwen3-8B,0.9112627986348124,0.0085932822148688,0.0791076642966514,0.0081164423885266,0.0809805252611056,0.0078835009041216,0.8727537093056756,0.0193635446450972
AI2 ARC,Verbalized Confidence,Qwen3-8B,0.9112627986348124,0.0085932822148688,0.0401450511945392,0.0086179653838959,0.0828903583617747,0.0077986058211014,0.4785184384903486,0.0127593249788407
AI2 ARC,Log Probabilities,Qwen3-14B,0.9360068259385664,0.0075041828420565,0.0578349588674081,0.0071676285633533,0.0586805752802982,0.0070013647927845,0.8568763293831662,0.0242973431630163
AI2 ARC,Verbalized Confidence,Qwen3-14B,0.9360068259385664,0.0075041828420565,0.0094453924914675,0.0049949311785332,0.0590659556313993,0.0065279709833045,0.5904588271042237,0.0272282912065686
AI2 ARC,Log Probabilities,Qwen3-32B,0.9513651877133106,0.0066185972719879,0.0375109303221361,0.0059680395271074,0.0421801862936266,0.005741487821781,0.8572024230981039,0.0302806400847648
AI2 ARC,Verbalized Confidence,Qwen3-32B,0.9513651877133106,0.0066185972719879,0.0027389078498293,0.0040753504159428,0.045973976109215,0.0059369278217771,0.5566281173786485,0.0143086971173864
GSM8K,Log Probabilities,Qwen3-0.6B,0.0507960576194086,0.0061976408980207,0.6217137601488055,0.0086724812042393,0.4826826390695922,0.0078172285685245,0.4507713032282676,0.0316572542315766
GSM8K,Verbalized Confidence,Qwen3-0.6B,0.0507960576194086,0.0061976408980207,0.7216527672479152,0.0122381672755731,0.7178732198938816,0.0121838573465067,0.5598445472318917,0.0277545078176676
GSM8K,Log Probabilities,Qwen3-1.7B,0.1235784685367702,0.0088383760489466,0.6673190001303838,0.0096759716846202,0.5691061211990939,0.0090998237765439,0.6985745218332732,0.0232537333867334
GSM8K,Verbalized Confidence,Qwen3-1.7B,0.1235784685367702,0.0088383760489466,0.8726307808946172,0.0089618476974213,0.8726307808946171,0.0089618476974213,0.5021626297577855,0.0009725216842209
