dataset,model,conf_type,acc,acc_se,ece,ece_se,brier,brier_se,auc_roc,auc_roc_se,ap_errors_norm,ap_errors_norm_se
AI2 ARC,Qwen3-8B,Log Probabilities,0.9112627986348124,0.0085932822148688,0.0791076642966514,0.0081164423885266,0.0809805252611056,0.0078835009041216,0.8727537093056756,0.0193635446450972,4.900396212544796,0.567542773238323
AI2 ARC,Qwen3-8B,Verbalized Confidence,0.9112627986348124,0.0085932822148688,0.0401450511945392,0.0086179653838959,0.0828903583617747,0.0077986058211014,0.4785184384903486,0.0127593249788407,0.962426381611616,0.0213224172912097
GSM8K,Qwen3-8B,Log Probabilities,0.2759666413949962,0.0122856104670722,0.5469387237134662,0.0113810352723244,0.4720348257521093,0.0103101539709911,0.8385334560727231,0.0133621472534825,1.2648800363651629,0.0183295410460285
GSM8K,Qwen3-8B,Verbalized Confidence,0.2759666413949962,0.0122856104670722,0.7228961334344198,0.0122683546399161,0.7226876421531463,0.0122624740253716,0.5019676658420115,0.0025949346135622,1.001488382369185,0.0016002079156186
MMLU,Qwen3-8B,Log Probabilities,0.7225466457769548,0.0037416293070199,0.241420795661638,0.0035938713356754,0.2420195369514102,0.0033616748081299,0.8159220099079112,0.0037870204058557,2.071944830401541,0.0298914959859604
MMLU,Qwen3-8B,Verbalized Confidence,0.7225466457769548,0.0037416293070199,0.2456558894744338,0.0037065728685799,0.2567440535536248,0.0034434745937387,0.6145108925094038,0.0040772092768952,1.2141639212573805,0.0097180613460141
